Event Category,Event Action,Event Label,Custom Event Properties,,,,,,,,,,,,,,,,,,,,,,,
stage_reached_400 (App),W:21_0A:20_0,30,"{""Time""",2025-11-30 16:47,UserUUID,48cb7ff0-b6b4-11f0-a280-61630857717f,attendance_count,30,b.diamond,195608,b.ruby,0,boxAllCount,6640,curserver,1,install_day,2025-10-31,total_payment_amount,18700,user_name,¼úÀ»²÷ÀÚ,user_rank,2365,user_stage,400}
stage_reached_400 (App),W:21_0A:19_0,39,"{""Time""",2025-11-30 16:19,UserUUID,5052ca60-afe5-11f0-a42d-5b177d3f1ef7,attendance_count,39,b.diamond,242336,b.ruby,0,boxAllCount,3570,curserver,1,install_day,2025-10-23,total_payment_amount,7700,user_name,ºÒµµ³¢,user_rank,2361,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,58,"{""Time""",2025-11-30 10:54,UserUUID,a7e4bd50-9ecf-11f0-8051-fb12e053e7b7,attendance_count,58,b.diamond,101937,b.ruby,0,boxAllCount,16480,curserver,1,install_day,2025-10-01,total_payment_amount,7700,user_name,¾ÓÀç°Ç¶ç,user_rank,2480,user_stage,400}
stage_reached_400 (App),W:24_0A:20_0,50,"{""Time""",2025-11-30 9:47,UserUUID,cf651c90-a739-11f0-9a97-71fbbce81f73,attendance_count,50,b.diamond,144590,b.ruby,0,boxAllCount,6790,curserver,1,install_day,2025-10-12,total_payment_amount,7700,user_name,ÀûÈæ³ìÈ²,user_rank,2404,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,7,"{""Time""",2025-11-30 9:19,UserUUID,30ef8510-c8fd-11f0-a306-03226dc783ee,attendance_count,7,b.diamond,24897,b.ruby,440,boxAllCount,18860,curserver,1,install_day,2025-11-24,total_payment_amount,590700,user_name,ÇÁÆä,user_rank,2375,user_stage,400}
stage_reached_400 (App),W:22_0A:20_0,77,"{""Time""",2025-11-30 8:00,UserUUID,1d01c250-87aa-11f0-ac4e-1baacf62606f,attendance_count,77,b.diamond,6645,b.ruby,0,boxAllCount,8290,curserver,1,install_day,2025-09-02,total_payment_amount,7700,user_name,¾ÆÇÊ,user_rank,2374,user_stage,400}
stage_reached_400 (App),W:22_0A:22_0,57,"{""Time""",2025-11-30 6:09,UserUUID,2f666d50-a19b-11f0-bc87-cb1070339f3c,attendance_count,57,b.diamond,841873,b.ruby,0,boxAllCount,14610,curserver,1,install_day,2025-10-05,total_payment_amount,7700,user_name,±×³ÉÇÕ½Ã´Ù,user_rank,2355,user_stage,400}
stage_reached_400 (App),W:21_0A:19_0,58,"{""Time""",2025-11-30 4:27,UserUUID,757eabd0-9ef4-11f0-ad98-4bea83920cb3,attendance_count,58,b.diamond,1047400,b.ruby,330,boxAllCount,3180,curserver,1,install_day,2025-10-01,total_payment_amount,11000,user_name,±è¸»¼ø,user_rank,2545,user_stage,400}
stage_reached_400 (App),W:23_0A:23_0,51,"{""Time""",2025-11-30 1:57,UserUUID,0a31dd90-a58c-11f0-81bc-39ac880a36f3,attendance_count,51,b.diamond,696954,b.ruby,0,boxAllCount,7590,curserver,1,install_day,2025-10-10,total_payment_amount,7700,user_name,¸Á¸Á¼Û¾ÆÁö,user_rank,2412,user_stage,400}
stage_reached_400 (App),W:22_0A:20_0,45,"{""Time""",2025-11-30 0:34,UserUUID,3e3f6280-a04e-11f0-8057-e96164e29cdc,attendance_count,45,b.diamond,3527,b.ruby,0,boxAllCount,6070,curserver,1,install_day,2025-10-03,total_payment_amount,3300,user_name,±Í¿©¿î°»ÀÌ,user_rank,2357,user_stage,400}
stage_reached_400 (App),W:21_0A:19_0,48,"{""Time""",2025-11-29 21:59,UserUUID,3d28d1e0-a82f-11f0-b253-b11b48705e0f,attendance_count,48,b.diamond,539165,b.ruby,0,boxAllCount,2290,curserver,1,install_day,2025-10-13,total_payment_amount,7700,user_name,±è¹Ù¸®,user_rank,2357,user_stage,400}
stage_reached_400 (App),W:23_0A:19_0,46,"{""Time""",2025-11-29 14:24,UserUUID,c858ce41-a9c5-11f0-9f27-4f60b2d99bf6,attendance_count,46,b.diamond,123409,b.ruby,0,boxAllCount,2560,curserver,1,install_day,2025-10-15,total_payment_amount,0,user_name,¿ÕÇÏ,user_rank,2430,user_stage,400}
stage_reached_400 (App),W:20_0A:20_0,34,"{""Time""",2025-11-29 13:31,UserUUID,02f60c60-b2f0-11f0-b04c-9ba93f509836,attendance_count,34,b.diamond,3694,b.ruby,0,boxAllCount,8500,curserver,1,install_day,2025-10-27,total_payment_amount,124300,user_name,¿ìÁÖÇ¥·ù±â,user_rank,2353,user_stage,400}
stage_reached_400 (App),W:23_0A:21_0,76,"{""Time""",2025-11-29 10:09,UserUUID,e43f9ca0-9021-11f0-ac2a-9b33cc6acca5,attendance_count,76,b.diamond,474999,b.ruby,0,boxAllCount,30290,curserver,1,install_day,2025-09-12,total_payment_amount,7700,user_name,¿À´Ã¸¸±è±¸,user_rank,2353,user_stage,400}
stage_reached_400 (App),W:22_0A:20_0,48,"{""Time""",2025-11-29 9:24,UserUUID,8766cb70-a7dc-11f0-b6dc-d7842c0bd110,attendance_count,48,b.diamond,270871,b.ruby,0,boxAllCount,9610,curserver,1,install_day,2025-10-13,total_payment_amount,7700,user_name,¾ÆÀÚ°³¾ß,user_rank,2388,user_stage,400}
stage_reached_400 (App),W:23_0A:23_0,77,"{""Time""",2025-11-29 8:18,UserUUID,268c2ca0-912a-11f0-866d-833d630eece1,attendance_count,77,b.diamond,924305,b.ruby,0,boxAllCount,41100,curserver,1,install_day,2025-09-14,total_payment_amount,7700,user_name,Àü¿ìÄ¡7,user_rank,2346,user_stage,400}
stage_reached_400 (App),W:23_0A:23_0,4,"{""Time""",2025-11-29 4:33,UserUUID,fc7d4d00-ca2b-11f0-b205-0f2c430b0481,attendance_count,4,b.diamond,221701,b.ruby,0,boxAllCount,3310,curserver,1,install_day,2025-11-25,total_payment_amount,700700,user_name,MoonBear,user_rank,2423,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,22,"{""Time""",2025-11-29 3:12,UserUUID,3f923e40-bc5b-11f0-b357-1bba43bb7d07,attendance_count,22,b.diamond,2924,b.ruby,220,boxAllCount,6170,curserver,1,install_day,2025-11-08,total_payment_amount,123200,user_name,´ëÀÛ,user_rank,2344,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,52,"{""Time""",2025-11-29 0:19,UserUUID,72a2f180-a4e6-11f0-972f-4bf17a5acb30,attendance_count,52,b.diamond,228968,b.ruby,0,boxAllCount,7310,curserver,1,install_day,2025-10-09,total_payment_amount,7700,user_name,ÆÛ°¡³ª,user_rank,2343,user_stage,400}
stage_reached_400 (App),W:21_0A:20_0,72,"{""Time""",2025-11-28 23:17,UserUUID,002d9f20-764b-11f0-a364-4f4501bc94a2,attendance_count,72,b.diamond,283693,b.ruby,0,boxAllCount,6700,curserver,1,install_day,2025-08-11,total_payment_amount,7700,user_name,·¹ÀÌ´Ï´õÅ©,user_rank,2350,user_stage,400}
stage_reached_400 (App),W:22_0A:19_0,67,"{""Time""",2025-11-28 20:21,UserUUID,73e8ed90-9615-11f0-a57c-d9e1d5ed0d61,attendance_count,67,b.diamond,101470,b.ruby,0,boxAllCount,3940,curserver,1,install_day,2025-09-20,total_payment_amount,7700,user_name,¹ÚÇõ°Å¼¼50´ë¼Õ,user_rank,2352,user_stage,400}
stage_reached_400 (App),W:23_0A:20_0,41,"{""Time""",2025-11-28 17:43,UserUUID,ab420b60-aaff-11f0-8bf0-619434373323,attendance_count,41,b.diamond,14375,b.ruby,0,boxAllCount,6180,curserver,1,install_day,2025-10-17,total_payment_amount,18700,user_name,µÎ²¨ºñÃß³ë²Û,user_rank,2364,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,18,"{""Time""",2025-11-28 15:21,UserUUID,fd076890-bdca-11f0-92bc-fbaee944af6a,attendance_count,18,b.diamond,6443,b.ruby,0,boxAllCount,7700,curserver,1,install_day,2025-11-10,total_payment_amount,402600,user_name,ÀçÄï,user_rank,2384,user_stage,400}
stage_reached_400 (App),W:23_0A:21_0,91,"{""Time""",2025-11-28 12:52,UserUUID,5a4188c0-6f4b-11f0-9723-733fa094f405,attendance_count,91,b.diamond,63993,b.ruby,0,boxAllCount,7400,curserver,1,install_day,2025-08-02,total_payment_amount,0,user_name,È«¾²¹ÝÀå,user_rank,2338,user_stage,400}
stage_reached_400 (App),W:23_0A:19_0,16,"{""Time""",2025-11-28 10:06,UserUUID,e91bb430-c07c-11f0-b301-9d07e65412a6,attendance_count,16,b.diamond,118522,b.ruby,0,boxAllCount,2160,curserver,1,install_day,2025-11-13,total_payment_amount,161700,user_name,¼¼°¡¿Â,user_rank,2365,user_stage,400}
stage_reached_400 (App),W:22_0A:19_0,37,"{""Time""",2025-11-28 9:47,UserUUID,daeac090-a9e8-11f0-ad48-b537ca6ad785,attendance_count,37,b.diamond,4540,b.ruby,0,boxAllCount,3500,curserver,1,install_day,2025-10-15,total_payment_amount,7700,user_name,¼öÇàºñ¼­,user_rank,2502,user_stage,400}
stage_reached_400 (App),W:23_0A:22_0,49,"{""Time""",2025-11-28 6:57,UserUUID,0b331870-a4b1-11f0-850c-635f8e67ad9e,attendance_count,49,b.diamond,108738,b.ruby,0,boxAllCount,21890,curserver,1,install_day,2025-10-09,total_payment_amount,7700,user_name,³É³ÉÇ¥·ù,user_rank,2357,user_stage,400}
